#dut|TYPE|DURATION_POST_TRIGGER_IN_SECONDS|CLEAR EVENT|ANNOTATION|args=none
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:1
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:2
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:3
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/58:0
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:4
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:5
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:6
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:7
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/48:0
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/48:1
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:0
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:1
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:2
r1|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:3
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/12:0
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/12:1
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:0
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:1
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:2
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:3
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:0
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:1
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:2
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:3
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:4
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:5
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:6
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:7
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/11:0
r2|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/11:1
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:0
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:1
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:2
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/40:3
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/22:0
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/22:1
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/19:0
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/19:1
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:0
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:1
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:2
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:3
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:4
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:5
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:6
r3|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/60:7
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/32:0
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/50:0
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/32:1
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/50:1
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/50:2
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/50:3
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:0
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:1
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:2
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:3
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:4
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:5
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:6
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:7
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/31:0
r4|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/31:1
r5|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/48
r5|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/49
r5|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:0
r5|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:1
r5|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:2
r5|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/20:3
r5|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/50:0
r5|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/50:1
r5|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/50:2
r5|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/50:3
r5|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/51
r5|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/52
r6|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/26
r6|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:0
r6|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:1
r6|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:2
r6|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/30:3
r6|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/10:0
r6|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/10:1
r6|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/10:2
r6|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/10:3
r6|Four|30|ifd_cfg_enable_disable|Flap_Interfaces_ifd_cfg_enable_disable|args=et-0/0/16
